run_id,user_story_id,condition,repetition,user_story_file,context_file
US02_C0_R1,US02,C0,R1,materials/US02/user-story.md,
US02_C0_R2,US02,C0,R2,materials/US02/user-story.md,
US02_C0_R3,US02,C0,R3,materials/US02/user-story.md,
US02_CL_R1,US02,CL,R1,materials/US02/user-story.md,materials/US02/lexical.md
US02_CL_R2,US02,CL,R2,materials/US02/user-story.md,materials/US02/lexical.md
US02_CL_R3,US02,CL,R3,materials/US02/user-story.md,materials/US02/lexical.md
US02_CO_R1,US02,CO,R1,materials/US02/user-story.md,materials/US02/operational.md
US02_CO_R2,US02,CO,R2,materials/US02/user-story.md,materials/US02/operational.md
US02_CO_R3,US02,CO,R3,materials/US02/user-story.md,materials/US02/operational.md
US02_CD_R1,US02,CD,R1,materials/US02/user-story.md,materials/US02/decisional.md
US02_CD_R2,US02,CD,R2,materials/US02/user-story.md,materials/US02/decisional.md
US02_CD_R3,US02,CD,R3,materials/US02/user-story.md,materials/US02/decisional.md
US02_CS_R1,US02,CS,R1,materials/US02/user-story.md,materials/US02/systemic.md
US02_CS_R2,US02,CS,R2,materials/US02/user-story.md,materials/US02/systemic.md
US02_CS_R3,US02,CS,R3,materials/US02/user-story.md,materials/US02/systemic.md
US02_CT_R1,US02,CT,R1,materials/US02/user-story.md,materials/US02/total.md
US02_CT_R2,US02,CT,R2,materials/US02/user-story.md,materials/US02/total.md
US02_CT_R3,US02,CT,R3,materials/US02/user-story.md,materials/US02/total.md
US08_C0_R1,US08,C0,R1,materials/US08/user-story.md,
US08_C0_R2,US08,C0,R2,materials/US08/user-story.md,
US08_C0_R3,US08,C0,R3,materials/US08/user-story.md,
US08_CL_R1,US08,CL,R1,materials/US08/user-story.md,materials/US08/lexical.md
US08_CL_R2,US08,CL,R2,materials/US08/user-story.md,materials/US08/lexical.md
US08_CL_R3,US08,CL,R3,materials/US08/user-story.md,materials/US08/lexical.md
US08_CO_R1,US08,CO,R1,materials/US08/user-story.md,materials/US08/operational.md
US08_CO_R2,US08,CO,R2,materials/US08/user-story.md,materials/US08/operational.md
US08_CO_R3,US08,CO,R3,materials/US08/user-story.md,materials/US08/operational.md
US08_CD_R1,US08,CD,R1,materials/US08/user-story.md,materials/US08/decisional.md
US08_CD_R2,US08,CD,R2,materials/US08/user-story.md,materials/US08/decisional.md
US08_CD_R3,US08,CD,R3,materials/US08/user-story.md,materials/US08/decisional.md
US08_CS_R1,US08,CS,R1,materials/US08/user-story.md,materials/US08/systemic.md
US08_CS_R2,US08,CS,R2,materials/US08/user-story.md,materials/US08/systemic.md
US08_CS_R3,US08,CS,R3,materials/US08/user-story.md,materials/US08/systemic.md
US08_CT_R1,US08,CT,R1,materials/US08/user-story.md,materials/US08/total.md
US08_CT_R2,US08,CT,R2,materials/US08/user-story.md,materials/US08/total.md
US08_CT_R3,US08,CT,R3,materials/US08/user-story.md,materials/US08/total.md
US18_C0_R1,US18,C0,R1,materials/US18/user-story.md,
US18_C0_R2,US18,C0,R2,materials/US18/user-story.md,
US18_C0_R3,US18,C0,R3,materials/US18/user-story.md,
US18_CL_R1,US18,CL,R1,materials/US18/user-story.md,materials/US18/lexical.md
US18_CL_R2,US18,CL,R2,materials/US18/user-story.md,materials/US18/lexical.md
US18_CL_R3,US18,CL,R3,materials/US18/user-story.md,materials/US18/lexical.md
US18_CO_R1,US18,CO,R1,materials/US18/user-story.md,materials/US18/operational.md
US18_CO_R2,US18,CO,R2,materials/US18/user-story.md,materials/US18/operational.md
US18_CO_R3,US18,CO,R3,materials/US18/user-story.md,materials/US18/operational.md
US18_CD_R1,US18,CD,R1,materials/US18/user-story.md,materials/US18/decisional.md
US18_CD_R2,US18,CD,R2,materials/US18/user-story.md,materials/US18/decisional.md
US18_CD_R3,US18,CD,R3,materials/US18/user-story.md,materials/US18/decisional.md
US18_CS_R1,US18,CS,R1,materials/US18/user-story.md,materials/US18/systemic.md
US18_CS_R2,US18,CS,R2,materials/US18/user-story.md,materials/US18/systemic.md
US18_CS_R3,US18,CS,R3,materials/US18/user-story.md,materials/US18/systemic.md
US18_CT_R1,US18,CT,R1,materials/US18/user-story.md,materials/US18/total.md
US18_CT_R2,US18,CT,R2,materials/US18/user-story.md,materials/US18/total.md
US18_CT_R3,US18,CT,R3,materials/US18/user-story.md,materials/US18/total.md
US25_C0_R1,US25,C0,R1,materials/US25/user-story.md,
US25_C0_R2,US25,C0,R2,materials/US25/user-story.md,
US25_C0_R3,US25,C0,R3,materials/US25/user-story.md,
US25_CL_R1,US25,CL,R1,materials/US25/user-story.md,materials/US25/lexical.md
US25_CL_R2,US25,CL,R2,materials/US25/user-story.md,materials/US25/lexical.md
US25_CL_R3,US25,CL,R3,materials/US25/user-story.md,materials/US25/lexical.md
US25_CO_R1,US25,CO,R1,materials/US25/user-story.md,materials/US25/operational.md
US25_CO_R2,US25,CO,R2,materials/US25/user-story.md,materials/US25/operational.md
US25_CO_R3,US25,CO,R3,materials/US25/user-story.md,materials/US25/operational.md
US25_CD_R1,US25,CD,R1,materials/US25/user-story.md,materials/US25/decisional.md
US25_CD_R2,US25,CD,R2,materials/US25/user-story.md,materials/US25/decisional.md
US25_CD_R3,US25,CD,R3,materials/US25/user-story.md,materials/US25/decisional.md
US25_CS_R1,US25,CS,R1,materials/US25/user-story.md,materials/US25/systemic.md
US25_CS_R2,US25,CS,R2,materials/US25/user-story.md,materials/US25/systemic.md
US25_CS_R3,US25,CS,R3,materials/US25/user-story.md,materials/US25/systemic.md
US25_CT_R1,US25,CT,R1,materials/US25/user-story.md,materials/US25/total.md
US25_CT_R2,US25,CT,R2,materials/US25/user-story.md,materials/US25/total.md
US25_CT_R3,US25,CT,R3,materials/US25/user-story.md,materials/US25/total.md
